id,approachability,arousal,danceability,engagingness,instrumentalness,tempo,valence,ai
berend-b-1,0.14507852494716644,5.021568298339844,0.7396223545074463,0.5278042554855347,0.5858963131904602,143,4.429538249969482,TRUE
berend-b-2,0.2117881029844284,5.656832218170166,0.6107738614082336,0.5786535143852234,0.34871575236320496,75,4.476576805114746,TRUE
desmond-l-1,0.262981653213501,4.4781084060668945,0.28595250844955444,0.41560715436935425,0.6434987187385559,135,3.936314582824707,TRUE
desmond-l-2,0.2929443418979645,5.076702117919922,0.30105194449424744,0.5524328947067261,0.4989388585090637,73,4.316220760345459,TRUE
evan-l-2,0.10819990187883377,5.602334022521973,0.4800247251987457,0.6272448301315308,0.5513843894004822,135,4.44512414932251,TRUE
gijs-s-1,0.2218729704618454,5.144138813018799,0.5294991731643677,0.3996860384941101,0.5313674211502075,130,4.345811367034912,TRUE
hidde-s-1,0.2564685046672821,4.819032669067383,0.6889337301254272,0.5036139488220215,0.7272893190383911,70,4.709840774536133,FALSE
hidde-s-2,0.17263346910476685,4.879329681396484,0.6212915182113647,0.47192317247390747,0.5956727266311646,100,4.107456207275391,TRUE
isa-h-2,0.22413401305675507,5.328084468841553,0.7693898677825928,0.5368485450744629,0.463512122631073,120,4.328239440917969,FALSE
joppe-h-2,0.16808655858039856,4.674201965332031,0.7611626982688904,0.5470967292785645,0.6349431276321411,64,3.8082470893859863,NA
ke-w-1,0.27488404512405396,4.448568344116211,0.6143686175346375,0.2964927852153778,0.6260294318199158,108,4.482517242431641,TRUE
lai-z-2,0.22849419713020325,4.187175273895264,0.693906307220459,0.16602720320224762,0.7672792673110962,78,3.7196648120880127,FALSE
lucas-w-1,0.034586869180202484,5.440822601318359,0.7705163359642029,0.8198314309120178,0.6124269366264343,80,3.8941261768341064,FALSE
lucas-w-2,0.034760426729917526,5.18696403503418,0.8718019723892212,0.7983678579330444,0.7886142730712891,82,3.9909884929656982,FALSE
mette-l-1,0.0745524987578392,5.2010393142700195,0.3875691592693329,0.6800907850265503,0.5972842574119568,151,4.0668721199035645,FALSE
mette-l-2,0.3119173049926758,5.337541103363037,0.6431280374526978,0.4070824682712555,0.5980533361434937,138,4.350621700286865,FALSE
popke-s-1,0.22660215198993683,4.640411853790283,0.7838593125343323,0.3651476204395294,0.5653882622718811,68,4.014730930328369,FALSE
popke-s-2,0.1962960660457611,4.9557647705078125,0.939696729183197,0.6104608774185181,0.5985094308853149,139,4.149710655212402,FALSE
reinout-w-1,0.13018059730529785,4.757043361663818,0.7756209969520569,0.38362357020378113,0.7509492635726929,130,3.669548749923706,FALSE
reinout-w-2,0.293941855430603,5.421286582946777,0.9187854528427124,0.6280021667480469,0.418940931558609,75,4.73491096496582,FALSE
roemer-i-2,0.08238127082586288,4.059610366821289,0.973809003829956,0.3017929494380951,0.75826495885849,63,3.578270196914673,TRUE
sarya-n-1,0.30263617634773254,4.065598964691162,0.567886233329773,0.06150330230593681,0.7229213118553162,121,3.788346529006958,TRUE
sarya-n-2,0.13825492560863495,4.180237770080566,0.7244917750358582,0.37514397501945496,0.8174073100090027,104,3.8191940784454346,TRUE
senn-v-1,0.24945518374443054,4.773411273956299,0.7722950577735901,0.4050288200378418,0.6010211110115051,112,3.707718849182129,FALSE
senn-v-2,0.16947132349014282,4.682065486907959,0.7153953909873962,0.46497002243995667,0.5749943852424622,160,3.757351875305176,FALSE
thijmen-g-1,0.12241378426551819,4.14274263381958,0.6130659580230713,0.39413055777549744,0.7829942107200623,63,4.10496187210083,FALSE
thomas-m-2,0.19646885991096497,4.310969829559326,0.8023657202720642,0.49102783203125,0.7981117963790894,65,4.673396110534668,NA
tuna-a-1,0.18225505948066711,4.919322490692139,0.7185009121894836,0.5450443029403687,0.48346394300460815,125,4.513111591339111,TRUE
tuna-a-2,0.19796773791313171,4.508295059204102,0.8760642409324646,0.3656037449836731,0.5691542029380798,63,3.9288249015808105,TRUE
wijnand-h-2,0.3177342116832733,4.961668968200684,0.5613611340522766,0.3038330078125,0.503284215927124,120,4.301987171173096,TRUE
xuelong-f-2,0.16197021305561066,4.629356861114502,0.719218373298645,0.3451487123966217,0.6749700903892517,60,3.670731544494629,FALSE
